sequence,Restaurant_Name,Place_ID,Address,Category,"AI_Summary
_Pros",AI_Summary_Cons,Must_Try_Dishes,"Kaki_Maka
n_Tip
(Where the
Soul Is)",Status
1232,USSR Restaurant,ChIJu016RoVKzDERT8RbZKNv64Q,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1233,Restoran Taman Seri Peranggi,ChIJN5o-PTe7zTERZMoFCX1nBWE,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1234,Restoran Insaf Baru,ChIJ981VeotJzDER8BhUVDzmRCs,"158, Jalan Tuanku Abdul Rahman",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1235,Thirsty Monkeys - Bavarian House,ChIJy5hU-TtKzDERl21mbblOttw,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1236,Jaya,ChIJb4rtfOpJzDERiCxKlg38EHo,"51, Jalan Thambipillay, Kuala Lumpur, 50470",Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1237,Deen's Kitchen,ChIJaXeaWLpJzDERHMzVxcVFggY,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1238,Kak Not Selera Teja,ChIJDWkiAbWvTDARPW_QPt3VQ2g,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1239,Kedai Kopi,ChIJTy6EPorvtjERC2vYvJhe9BY,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1240,Jom Cari Makan,ChIJhW-zwMc3zDERApQgxn6HIAg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1241,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1242,Al-Sarifa,ChIJBxvoXRZKzDERw1fbHkhsT8c,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1243,Mamamon,ChIJu58ClUVLzDERK08wGbVp400,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1244,Haji Basheer,ChIJyzqSaNVLzDERPea8zS7tRMQ,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1245,Kenny Rogers Roasters,ChIJxQf5s4Y1zDERtrKepaYnTrw,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1246,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1247,F&F Burger,ChIJiXe9LaU3zDERTSu5KKf-TRY,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1248,Matahari Restaurant,ChIJ90dnZl--tzERxGnx4euHVeA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1249,Mimi's Cafe,ChIJAdROKDHLzTERnSOm8ctLl0M,,Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
1250,Warung Kendi,ChIJHb_bPpxLzDERIgqw73tvG-M,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1251,Nasi Kampung Dee Pumpong,ChIJJ7i0nTtbSzARzVfpcEuLckk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1252,Spring Leaf,ChIJv39edSo2zDEREG70mkqQssY,,Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
1253,Layar Seafood,ChIJASDdxXV3TDARx8YM_5-K6SU,,Asian Restaurant,,,"Pad Thai, Tom Yum, Green Curry, Mango Sticky Rice",Fresh seafood prepared with local cooking styles - must try!,Processed
1254,Armani Food Garden,ChIJ32STEeCHSzARaNa28kmbJKA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1255,The Cliff Restaurant & Bar,ChIJF-UmotmHSzAR-tCCM1UcxV4,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1256,Restoran MMM Maju,ChIJjVaS8_PPzTER-Io7HnC5prQ,"Jalan Impian 2, Semenyih, 43500",Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1257,Mumbai Spice,ChIJydjVcwBJzDERALWETkDVSfg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1258,RSMY,ChIJ5R9uCy1IzDERC_-PHO8Xqqc,"16, Jalan Bunus 6, Kuala Lumpur",Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1259,Intan Sea Food,ChIJhTUk1TOFyDERCAV1JZZwUsk,"KG BUDAYA CHERATING, Kuantan, 26080",Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
1260,Wei Thian Restaurant,ChIJx6fZ6-BLzDER30DKEpWLHfE,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1261,Nasi Ayam Nusantara,ChIJQeD1g7lJzDERYbC8vXx8W9Q,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1262,Restoran Rahuma,ChIJEc3hIgY1zDERCvqlkrJ1WC0,,Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1263,Nasi Ayam Gemas,ChIJIeqGZJo6zjER9ycm6cOg8do,,Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1264,Selera Pantai Timur,ChIJEff0fk5LzDERb-1EmUVQ0g0,,Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1265,Restaurant Syed,ChIJPw-n_MJLzDERy0daFRGNaro,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1266,Warung-warung,ChIJwzlY0YI1zDERGYQh5UGdAvM,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1267,Imperial China Restaurant (Subang Jaya),ChIJXVKIJQBNzDERyvM_WVBjYa8,"7343, Jalan SS 17/2, Subang Jaya, 47500",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1268,Cosmic,ChIJJR7oay1IzDERvtoQQBgyrZk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1269,Restoran Wong Soon Kee,ChIJF4ALlvVMzDERO6UsCFGxXBY,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1270,Kornia's Recipe,ChIJjdsT3cdIHzIRAphwTeFZYj0,"2108, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1271,Cakemania Cafe,ChIJAWGHE4VLxTERXBvpkHs_d3Y,Mersing,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1272,Farisya Selera Kampung,ChIJI0q93yBIzDERpPwixv4KdpU,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1273,Mee Abu,ChIJ19Ld5jFbSzAR2yycStUBjiA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1274,Restoran Multi Mart,ChIJ1fzk8DBt2jER7hcQdrrKSv4,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1275,Restoran Ka Hoe,ChIJ1_ButS1t2jERPejfXp2XRE8,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1276,Kakilang Kopitiam,ChIJI3A2ji5t2jER2C3JZ4UObtk,"Jalan Abiad 1, Taman Maju Jaya",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1277,Restoran Ah Piaw (Wanton Mee),ChIJ73S8siht2jERRNVmuDX7JDs,"Jalan Keris, 81100",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1278,Kedai Makanan Ah Soon,ChIJGeoTsSVt2jERmJAmVKiqTRQ,"141, Jalan Keris 1, Johor Bahru, 80050",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1279,Kedai Makan Azizah,ChIJQ7Ny1UqEzzERSEqNtmRkCzs,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1280,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1281,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1282,Chia Bee Bah Kut Teh Sdn. Bhd.,ChIJDe-wILtESzAR6w7tnKw9wmg,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1283,Restoran Kew Leong,ChIJbyMdzK_KzTERFdxPUWCHty8,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1284,Restoran Lois,ChIJo_a3P93v0TERvPgNS-97Ugk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1285,Peas & Pods,ChIJ6QNmlaFOzDERWOvyF68zI8g,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1286,Jin Jin Restaurant,ChIJ01ZSw6NZyjERf5XhbGn5OiY,"Kea Farm, Cameron Highlands",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1287,Tea Garden 古文茶,ChIJTTp2q79u2jERIa7lwgLO5Ow,"2, Jalan Gaya 28, Ulu Tiram, 81800",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1288,Arabian Delight,ChIJfXgVsOo1zDERCO735cQzkmg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1289,Khew Min Yew Koay Teow Soup,ChIJGaoqWgBLzDERZlti0ybWsOo,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1290,Mulu Cafe,ChIJr5ivx3D9GDIRb0gbj6sVG3U,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1291,Jia Jia Bah Kuet Teh Restaurant,ChIJfwrh4G7b0TERpeSuquaROlA,"38, Jalan Kemajuan, Tangkak",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1292,Tangkak Beef Noodles (Restoran Kuang Fei),ChIJJxH1P13b0TERw6KmAIqgxYc,"20, Jalan Solok, Tangkak",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1293,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1294,TGI Fridays,ChIJ_S65Xf5JzDERlOvCtbEZwE8,,Western Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1295,Machi Noodle 妈子面,ChIJb7Mr_xs1zDER8BN3bgQsUYY,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1296,Taste & Memories,ChIJKWoHUDlKzDERZkloKUMRE5g,"6, Jalan 1/109E, Kuala Lumpur, 58100",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1297,Nando's,ChIJCax5vJVLzDERxBMKElqFsD0,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1298,Tea Box Cafe,ChIJ53GXhJnGzTERQjXZn5RFsLY,,Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
1299,Al Wazir Tomyam,ChIJ7W4v4-0JzjERTvlX4k-YYMw,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1300,Selera Rika,ChIJmSYFm5nGzTERejJMAdUpbZs,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1301,Saigon Ivy Cafe,ChIJ1w6vcMHx0TER0DW9eJizQPQ,"15, Jalan KL 3/15 Taman Kota Laksamana Seksyen 3, Melaka, 75200",Asian Restaurant,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
1302,88 restaurant,ChIJO0wt5kBKzDERBVSgzDECiMM,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1303,fu sing restaurant,ChIJJfYCcqf60TERwDoiVKR1hxI,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1304,Kampachi,ChIJxaWeZuBLzDERAQW6AIDnH7g,,Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
1305,Restoran TKK,ChIJH2iXbjVr2jERjivpqqO97h4,"Lot 648, Kampung Teluk Jawa, Masai, 81750",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1306,Warong Tok Peraih,ChIJJePYynOvtjERH2GVe4Z8r0I,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1307,Restoran D’Casper,ChIJ7-osrZSvtjERiE18atbuWiw,"PT 523, Kota Bharu, 15050",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1308,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1309,ZNK Nasi Kukus,ChIJG-HmAlM2zDERyR4P81DsYFo,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1310,DeeNoor Food Corner,ChIJKUE0IdSvtjERorg5aUk_UWk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1311,Maheran Laksa,ChIJv8dvXeuvtjERFVed8AjzPQM,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1312,Restoran Ayam Gepuk,ChIJregapHhNzDERYi6sILuTvyM,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1313,Kedai Makan Warung Kakza,ChIJm9U_Fms2zDER-9m8foCGVBY,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1314,Captain T,ChIJo00I0VmzzTER9imkmlLQDzI,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1315,Restoran Sukri,ChIJ8URXNi5IzDERNzx5Y0KsSoo,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1316,Poolview Cafeteria,ChIJH5F2w7dLzDERgIJBUOjxMsw,,Asian Restaurant,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
1317,Restoran Kahf Seafood Tomyam,ChIJs5XN__yttjEReH_Bov8Jm4Y,,Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
1318,Zamri Hj. Osman Sate Baung,ChIJ95ydVFyxtjERu43N7iQIxCY,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1319,Ja Seafood & Tomyam,ChIJj3nTMvY1zDER5GJG8iqUkzE,,Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
1320,Nas Seafood,ChIJyTcwZTy5zTERxoG4n1JViSw,,Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
1321,Roti Tempayan Pasir Pekan,ChIJfRPvdpivtjERpihqM3cJAnA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1322,Restoran Mesra Selera Kita,ChIJe8qJDaKvtjEReS2umPuy63k,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1323,Kedai Makan Al-Yatama,ChIJy4NhUKKvtjERu9srcX7wiPo,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1324,La Corner (Western Food),ChIJ31x1-odPzDERUsMbFU0Hbqk,,Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
1325,Restoran Aisyah,ChIJK3Hii3DdzTERPy_iqk3_QMU,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1326,Restoran Mee Pak San,ChIJJcNolKGvtjERgbTq77LSF3M,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1327,Ezya Nasi Kukus,ChIJMTM0rp6vtjERsDRDzpUYG8U,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1328,Damai Cafeteria,ChIJR-xKuyQ1zDERedVyR_fWPz8,,Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
1329,Kafeteria Apple,ChIJ98_7b45JzDERI2zJHfIjtfs,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1330,Food Court UiTM Machang,ChIJ4_1bq-GPtjERiUXTCNQizW8,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1331,Uptown,ChIJXes4TjFJzDERId60r-MSZGA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1332,Dewan Makan 2,ChIJTYFd_6s3zDER6OJUD9GC0TM,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1333,Dewan Makan 1,ChIJTYFd_6s3zDER6OJUD9GC0TM,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1334,Dewan Makan 3,ChIJTYFd_6s3zDER6OJUD9GC0TM,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1335,Downtown,ChIJV9bFZAAZ2jERPVrZDDBfdGc,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1336,Kashmir Tomyam Kafe,ChIJMbIhFyJbSzAReWkvG80ckdk,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1337,Restoran Aziz,ChIJWdl1QoxNzDERWLmo44vZrEk,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1338,Old Castle,ChIJZfCwp943zDERiH8IHwAfdVU,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1339,Azraai Tomyam & Ala Carte,ChIJK75CJwBLzDERT8X6SI68AZo,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1340,DarSA Fried Chicken,ChIJLeKasmDJzTERItI0d8UVcEQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1341,Hakka,ChIJC6suyiw2zDERoQewP8eR84c,"90, Jalan Raja Chulan, Kuala Lumpur, 50200",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1342,Syiok,ChIJN5sLEwA3zDERF8RRBCMwuq8,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1343,Restoran 5 Utara,ChIJ-xl4_DRYSzARY5FCXXXbXoY,,Asian Restaurant,,,"Pad Thai, Tom Yum, Green Curry, Mango Sticky Rice",Unique dining experience worth exploring!,Processed
1344,Gerai Makan Meran & Ana,ChIJr4c1v4o3zDERNYqOOaeLE-A,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1345,Nasi Ayam Periuk Besar,ChIJtdF9ftfNSjARAnIRIg2e_V8,,Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1346,Weng Hwa,ChIJmwST4K5KzDERO3yuM4BTfKw,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1347,Mee Abbas,ChIJe2LCmbtDSzARHjUcPbCuEiY,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1348,Restoran Langgaq Bihun Sup Utara,ChIJjbOgdmNbzDERoj9QGrRp4l0,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1349,Suasana,ChIJbQv4TtFJzDER4yatcj5e198,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1350,Restoran Leeyas Corner,ChIJC1zpMJdJzDERJNhGEoURjY0,,Malaysian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1351,Al-Yemeni,ChIJj2NWEMtNzDER280s54eWN5A,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1352,Kafe Chin Venlin,ChIJRfFQhaVESzARrDrpJUIFVeE,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1353,MY Nasi Kandar,ChIJ53T93VdLzDERWXHZyn68nUQ,,Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1354,Medina Thai Palace,ChIJNZh9OMhESzAREY2TKA7jJ2w,,Asian Restaurant,,,"Pad Thai, Tom Yum, Green Curry, Mango Sticky Rice",Unique dining experience worth exploring!,Processed
1355,Nasi Kandar Al Shiffa,ChIJ-4HLgMNaSzARVVGtzqr0bwY,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1356,Restoran Hupsa,ChIJs5MW3K9LzDER6SV3ad-jT00,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1357,Restoran SMR Nasi Lemak Royale,ChIJpSst0b1ESzARQG09hY6ahdo,,Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
